mixture_fraction,ignition_delay_ms
0.0001798909380552,7.89529608014517
0.0002242509650143,1.2937254012808
0.0003945836652165,0.71657748411721
0.0011668402671404,0.06214712645518
0.0021790331474787,0.03945051087353
0.0050582684884504,0.02949421502463
0.0100861466821885,0.02818382931264
0.0145601372464922,0.03230059528982
0.0194086146682188,0.03981071705534
0.0241651859567428,0.05134832907437
0.0286428527663746,0.06744462874835
0.0332148765394277,0.09270544931883
0.0375079958335886,0.12976509670912
0.0413359475522333,0.18497168941812
0.0446994669444274,0.27592399772718
0.0473194044482568,0.4346682260653
0.0493805526622143,0.68474097326454
0.0503248575454935,1.10850292163847
0.051549782488818,1.87795080185149
0.0524977636174254,3.4842175435384
0.0535374057962134,6.12127802366456
0.0549510446663807,11.35698776448283
0.0561749892776178,18.55329511349963
