Experiment (Center Point),,Experiment (Upper Bound),,Experiment (Lower Bound),,Inert-HeatFlux-Cowl-MenterSST,
X,Y,X,Y,X,Y,X,Y
22.27585793477266,0.00025647840531561466,22.753741616790705,0.0003596899224806202,22.513537759015776,0.00010675526024363235,-57.31365007850795,0.00044872646733111856
76.97292658532967,0.0002524916943521595,77.76505244205501,0.00028660022148394243,77.30862304505717,0.00020598006644518277,-56.66413211632849,0.0003326688815060908
99.78514164560676,0.00027375415282392026,99.82047811505177,0.0003109634551495017,99.75022584841707,0.00023698781838316725,-53.753500781924544,0.0001975636766334441
99.78514164560676,0.00027375415282392026,121.45691422177211,0.0002941306755260244,121.3509048134371,0.00018250276854928017,-51.13523666495243,0.00015459579180509414
121.7665290016711,0.00022015503875968994,143.86275988343172,0.0002874861572535992,143.40422712515735,0.00020465116279069773,-46.228936151416775,0.00012093023255813952
143.067268648664,0.0002498338870431894,165.88621446502586,0.0002781838316722038,165.42305431194322,0.0001904761904761905,-38.65809757282625,0.00009302325581395348
165.09156457476868,0.00024141749723145077,187.53611208391564,0.0002755260243632337,187.8528782921547,0.00020908084163898116,-27.657097424539273,0.00007707641196013292
187.50077561447065,0.0002383167220376523,209.22555289480349,0.00031450719822812847,209.5141340619377,0.00021838316722037654,-8.29902225251061,0.00006112956810631231
209.55746330423332,0.0002640088593576966,231.62887452293134,0.00030520487264673314,231.1766518484865,0.00022901439645625697,-7.159000440654182,0.00006157253599114066
231.59143469220984,0.00026578073089701,253.30401247713903,0.00032912513842746403,253.18580357340042,0.00020465116279069773,-5.240734956497221,0.00008150609080841636
253.62666809695227,0.0002688815060908085,275.66106015718424,0.00027109634551495017,275.553368059828,0.00015769656699889258,-1.3276416377191538,0.00020199335548172758
253.62666809695227,0.0002688815060908085,,,,,2.5109926918712517,0.00024407530454042086
275.616889570378,0.00022458471760797345,,,,,9.37215717577476,0.0002688815060908085
,,,,,,13.939395851540581,0.0002781838316722038
,,,,,,15.814332093401873,0.0002524916943521595
,,,,,,17.52057876088884,0.0004491694352159469
,,,,,,19.00849652787639,0.00041594684385382063
,,,,,,21.23890082546413,0.00036456256921373205
,,,,,,23.478139240413128,0.0003224806201550388
,,,,,,26.49351796638618,0.0002976744186046512
,,,,,,31.419169403665535,0.00028438538205980074
,,,,,,37.11338905137356,0.00028039867109634555
,,,,,,42.050819311801234,0.00027951273532668885
,,,,,,47.37148199680499,0.00028217054263565894
,,,,,,53.064439627747106,0.00027685492801771876
,,,,,,55.39075719954275,0.00032646733111849394
,,,,,,57.27494823102057,0.0003105204872646734
,,,,,,59.58822496290199,0.0003464008859357697
,,,,,,64.50251824928827,0.00032115171650055375
,,,,,,71.31025735676897,0.00028970099667774093
,,,,,,76.2359087940483,0.00027641196013289035
,,,,,,81.16787031515713,0.0002697674418604652
,,,,,,87.24616373195184,0.00027021040974529347
,,,,,,93.70642755655672,0.0002728682170542636
,,,,,,96.3596074707186,0.0002666666666666667
,,,,,,99.45238989166637,0.0003233665559246955
,,,,,,105.89624749831466,0.00030874861572536
,,,,,,111.19840060408532,0.0002919158361018826
,,,,,,114.60500452748514,0.00027906976744186056
,,,,,,119.91430906159584,0.0002697674418604652
,,,,,,127.12715555092817,0.0002648947951273533
,,,,,,134.72449648160242,0.0002648947951273533
,,,,,,136.99738867697525,0.0002582502768549281
,,,,,,140.8410710736292,0.0003056478405315615
,,,,,,147.6719471551513,0.0002985603543743079
,,,,,,155.63148689763673,0.0002799557032115172
,,,,,,163.5969160516964,0.0002675526024363234
,,,,,,170.80892119651807,0.00026179401993355484
,,,,,,174.98535534711246,0.0002595791805094131
,,,,,,176.88006318497273,0.00025470653377630126
,,,,,,179.94466056481562,0.00028172757475083065
,,,,,,181.8570366373984,0.0002954595791805094
,,,,,,189.06988312673067,0.00029058693244739763
,,,,,,197.0357329530456,0.00027862679955703215
,,,,,,204.62297774959276,0.0002679955703211518
,,,,,,210.317618069556,0.000264451827242525
,,,,,,216.7644203819914,0.0002529346622369878
,,,,,,220.58706916588054,0.0002781838316722038
,,,,,,223.63357763874555,0.0002861572535991141
,,,,,,233.12688842404603,0.00028261351052048735
,,,,,,239.19634772347953,0.00027375415282392026
,,,,,,247.92655903767016,0.0002666666666666667
,,,,,,254.37546471138202,0.00025736434108527135
,,,,,,256.6525636293078,0.0002551495016611296
,,,,,,260.4743710686863,0.00027951273532668885
,,,,,,266.55518851901275,0.00028261351052048735
,,,,,,274.90763614794616,0.00027774086378737546
,,,,,,283.25755974334777,0.00027021040974529347
,,,,,,291.60243527168586,0.00025736434108527135
,,,,,,295.0225007072552,0.0002586932447397564
,,,,,,299.21702376482733,0.0002755260243632337
,,,,,,300.63426859292497,0.0001678848283499446
,,,,,,301.7633529261436,0.00015681063122923588
,,,,,,306.69994184206064,0.0001550387596899225
,,,,,,316.18904590480815,0.00014706533776301216
,,,,,,329.09569136959317,0.00013776301218161683
,,,,,,337.44940101529244,0.00013421926910299004
,,,,,,343.9062994618549,0.00013333333333333334
,,,,,,349.5967330592654,0.00012535991140642306
,,,,,,356.0418526826795,0.00011207087486157254
,,,,,,361.72976224655804,0.00010143964562569217
,,,,,,370.8297444731553,0.00008372093023255816
,,,,,,384.8663156156696,0.00006423034330011075
,,,,,,403.84242037988804,0.00004606866002214839
,,,,,,418.6496630941074,0.00003809523809523811
