Experiment (Center Point),,Experiment (Upper Bound),,Experiment (Lower Bound),,1/8C No Walls,,1/2C W Walls,
X,Y,X,Y,X,Y,X,Y,X,Y
33.50785340314137,0.00008617021276595741,33.50785340314137,0.00010132978723404243,33.208676140613306,0.00006143617021276586,-0.29917726252804755,0.0008002659574468086,0,0.000799468085106383
99.3268511593119,0.0003558510638297872,99.62602842183992,0.0005585106382978724,99.3268511593119,0.00022260638297872336,1.4958863126402377,0.00043962765957446807,1.7950635751682853,0.0005537234042553192
121.16679132385937,0.00043962765957446807,121.16679132385937,0.0007061170212765957,121.16679132385937,0.00028803191489361704,3.889304412864618,0.00030558510638297874,2.3934181002243804,0.00037898936170212765
143.30590875093495,0.00040452127659574465,143.30590875093495,0.0006271276595744681,143.30590875093495,0.0003303191489361702,4.487658937920713,0.0002082446808510638,4.786836200448761,0.00020585106382978722
165.44502617801044,0.0004659574468085106,165.44502617801044,0.0006438829787234042,165.44502617801044,0.00036702127659574466,8.676140613313393,0.00015079787234042552,13.163799551234106,0.00012127659574468082
187.28496634255796,0.0004484042553191489,187.58414360508598,0.0006335106382978723,187.28496634255796,0.00036223404255319145,13.163799551234106,0.00011888297872340414,20.344053851907262,0.00009654255319148928
209.12490650710546,0.0004412234042553192,209.42408376963348,0.0005545212765957447,209.42408376963348,0.0003526595744680851,23.635003739715785,0.00009255319148936169,31.41361256544502,0.00007819148936170212
230.9648466716529,0.00043244680851063834,231.26402393418104,0.0005497340425531915,231.56320119670906,0.00034148936170212766,33.208676140613306,0.00007978723404255324,32.61032161555721,0.000016755319148936253
252.80478683620046,0.0004492021276595745,253.4031413612565,0.0005792553191489361,253.4031413612565,0.00036223404255319145,33.8070306656694,0.00004867021276595742,36.20044876589378,0.000016755319148936253
275.243081525804,0.0004531914893617021,275.243081525804,0.0005577127659574468,275.243081525804,0.00036622340425531915,34.70456245325356,0.000015957446808510583,38.893044128646224,0.00004867021276595742
297.38219895287955,0.000461968085106383,297.38219895287955,0.0006135638297872341,297.08302169035153,0.00034148936170212766,35.00373971578159,0.000021542553191489298,41.8848167539267,0.00004148936170212758
319.5213163799551,0.0003159574468085106,319.5213163799551,0.00038696808510638295,319.222139117427,0.00026250000000000004,38.29468960359014,0.00010930851063829794,46.671652954375446,0.00004069148936170213
