Experiment (Center Point),,Experiment (Upper Bound),,Experiment (Lower Bound),,Inert-Pressure-Cowl-MenterSST,
X,Y,X,Y,X,Y,X,Y
22.662889518413607,0.007338165861245349,22.662889518413607,0.007691107037715938,22.662889518413607,0.006996989390657114,-58.168083097261544,0.007611131478086987
44.57034938621342,0.006984580347719827,44.57034938621342,0.007502227406543355,44.57034938621342,0.006419874465366885,-58.545797922568454,0.007222907293228908
66.10009442870631,0.00771335888463034,66.85552407932013,0.008054513136699441,66.85552407932013,0.007348630783758264,-57.79036827195466,0.006834649780592125
77.80925401322003,0.007089485085819031,77.80925401322003,0.007595367438760208,77.80925401322003,0.006771838026995503,-55.90179414542018,0.006646358940176639
88.76298394711995,0.006853868799644506,88.76298394711995,0.0073832805643503875,88.76298394711995,0.006465633505526858,-48.72521246458922,0.0067402655113036735
109.91501416430594,0.007876776092873412,110.29272898961284,0.008770882630672668,110.67044381491971,0.007241459756707217,-40.03777148253067,0.006681186468921848
122.00188857412653,0.007429361773037828,121.24645892351273,0.007982325168027552,121.62417374881963,0.006958784647003278,-26.440037771482523,0.006763139476753876
132.57790368271955,0.007181991890240517,132.57790368271955,0.008217286007887577,132.57790368271955,0.006346697772593459,-10.576015108592998,0.006680319946675555
143.90934844192637,0.007581658612453482,143.53163361661942,0.008205199133477756,143.53163361661942,0.006946375604065991,-4.532577903682721,0.006738965727934235
154.48536355051934,0.008063700494362051,154.86307837582623,0.008887218796867189,154.48536355051934,0.00753428872965617,8.309726156751651,0.00686799977781481
176.39282341831918,0.0075571738043659405,176.39282341831918,0.008804232627895352,176.39282341831918,0.0068512914514247646,14.730878186968852,0.00676192856746098
187.72426817752594,0.008874487585402435,186.96883852691215,0.00943921568627451,187.3465533522191,0.008215675165250238,15.486307837582615,0.011961906348941844
198.6779981114258,0.007944753652169085,198.30028328611897,0.008462411820252182,198.6779981114258,0.007332988946286731,17.374881964117094,0.010655968449702829
209.6317280453258,0.007697372660112205,209.6317280453258,0.00835619618952397,209.6317280453258,0.007226784424818087,19.64117091595844,0.00984413708826307
220.20774315391876,0.008944120424373717,220.20774315391876,0.01035588513025607,220.20774315391876,0.007944120424373717,20.774315391879128,0.008855868466366717
241.3597733711048,0.008143498305837917,242.8706326723324,0.008590512692329058,242.49291784702544,0.007578759095706274,23.796033994334266,0.007808720768760763
252.31350330500473,0.008660823196133979,253.06893295561846,0.009613742154085432,253.44664778092542,0.007201966338943511,28.328611898017016,0.007067410987057714
263.6449480642116,0.009213431094817532,264.40037771482525,0.00970752652335722,264.40037771482525,0.008683997111592514,37.771482530689326,0.006855368549686165
274.5986779981114,0.008201344220407712,275.3541076487252,0.008730733766594459,275.7318224740321,0.007718957951452538,42.304060434372076,0.006831705826806644
286.3078375826251,0.008459823362772873,286.3078375826251,0.009753941009831697,286.68555240793205,0.007624518135866246,48.34749763928235,0.006937410431594735
316.1473087818697,0.003976592790090543,317.2804532577903,0.004188324168194191,316.9027384324834,0.0037177470421596425,52.12464589235125,0.0068196522801755284
327.1010387157695,0.0037998000333277823,327.8564683663834,0.004388013108926293,327.47875354107646,0.003470377159362331,53.25779036827197,0.007007854246514471
337.6770538243626,0.0042347830917069396,338.4324834749764,0.004752407932011333,338.4324834749764,0.0037641726378936854,54.01322001888573,0.008360773204465924
348.6307837582625,0.003928578570238296,349.3862134088763,0.004340321057601513,349.3862134088763,0.0034932622340721024,54.768649669499524,0.008031339221240906
370.1605288007553,0.0021632394600899878,370.53824362606224,0.0022926401155363013,370.53824362606224,0.002022051880242185,56.27950897072711,0.007901883019496753
,,,,,,57.0349386213409,0.008243037271565851
,,,,,,58.16808309726159,0.00900770982614009
,,,,,,61.56751652502359,0.008795845136921625
,,,,,,64.21152030217189,0.008254590901516416
,,,,,,68.74409820585458,0.00768975170804866
,,,,,,73.2766761095373,0.007219030161639728
,,,,,,79.32011331444758,0.007018852413486643
,,,,,,88.76298394711995,0.00699504527023274
,,,,,,92.54013220018888,0.007030228295284121
,,,,,,95.93956562795088,0.006983069488418599
,,,,,,95.93956562795088,0.006983069488418599
,,,,,,99.33899905571295,0.008641793034494253
,,,,,,100.84985835694053,0.008735866244514804
,,,,,,105.76015108593012,0.008429839471199244
,,,,,,112.93673276676108,0.007735510748208633
,,,,,,117.09159584513694,0.007405976781647504
,,,,,,123.890462700661,0.007205776814975283
,,,,,,131.06704438149197,0.007158506915514083
,,,,,,133.71104815864018,0.007193723268344166
,,,,,,137.11048158640224,0.007052446814419821
,,,,,,140.5099150141643,0.008699405654613121
,,,,,,145.042492917847,0.008581625284674778
,,,,,,151.08593012275733,0.008275565183580516
,,,,,,151.08593012275733,0.008275565183580516
,,,,,,158.6402266288952,0.007792990057212688
,,,,,,167.70538243626063,0.007463311670277177
,,,,,,173.7488196411709,0.007392545686829975
,,,,,,175.63739376770533,0.007263078375826252
,,,,,,179.7922568460812,0.008098250291618064
,,,,,,181.68083097261567,0.00859231239237905
,,,,,,185.08026440037767,0.00859221240904294
,,,,,,190.7459867799811,0.008450869299561185
,,,,,,197.54485363550518,0.008144786979947787
,,,,,,203.96600566572235,0.007897539299005723
,,,,,,211.1425873465533,0.007673798811309227
,,,,,,216.80830972615675,0.007403043937121593
,,,,,,218.69688385269123,0.007932400155529635
,,,,,,218.69688385269123,0.007932400155529635
,,,,,,220.9631728045326,0.008708804088207522
,,,,,,226.62889518413593,0.008708637449314004
,,,,,,233.42776203966005,0.008567261012053549
,,,,,,238.33805476864964,0.008367116591679167
,,,,,,245.89235127478756,0.00804924734766428
,,,,,,250.8026440037771,0.007860867633172251
,,,,,,254.57979225684605,0.00764899183469422
,,,,,,257.9792256846081,0.007872421263122814
,,,,,,259.8677998111426,0.008472365716824975
,,,,,,260.6232294617564,0.00867234349830584
,,,,,,265.15580736543905,0.008789857246014554
,,,,,,270.4438149197356,0.008754407598733546
,,,,,,275.3541076487252,0.008624851413653281
,,,,,,284.0415486307837,0.008354007665389103
,,,,,,287.8186968838527,0.008189190690440485
,,,,,,293.1067044381492,0.007871388101983005
,,,,,,296.1284230406044,0.008236005110259403
,,,,,,299.5278564683664,0.00870649336221741
,,,,,,300.2832861189802,0.00821235349663945
,,,,,,300.2832861189802,0.004941765261345334
,,,,,,304.8158640226628,0.004635749597289343
,,,,,,318.7913125590179,0.004176515025273568
,,,,,,330.12275731822467,0.0038938288063100623
,,,,,,336.166194523135,0.003823062822862858
,,,,,,342.20963172804534,0.0038111203688274194
,,,,,,348.6307837582625,0.0036815197467088834
,,,,,,353.91879131255905,0.0033048936288396415
,,,,,,366.7610953729934,0.0025398100316613922
,,,,,,379.9811142587346,0.001857068266400046
,,,,,,399.62228517469305,0.001327078820196637
,,,,,,419.2634560906515,0.0009617952563461679
