Experiment (Center Point),,Experiment (Upper Bound),,Experiment (Lower Bound),,Spalart-Allm.,,Menter-SST,,Wilcox k-w,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
22.432629278951204,0.0070909337873504355,22.141296431172613,0.007444619827026974,22.141296431172613,0.006592529794872633,6.117989803350326,0.006800888986728426,5.8266569555717425,0.006800877277208822,5.535324107793151,0.0068008655676892165
44.28259286234523,0.0070435804900668125,44.573925710123824,0.007284749755856515,43.69992716678805,0.006722013662667474,11.944646758922069,0.00681720034753854,11.944646758922069,0.006801123177120531,13.109978150036419,0.006817247185616961
66.13255644573925,0.007140921726545244,66.42388929351782,0.007382090992334944,66.13255644573925,0.006658606614005053,13.983976693372178,0.00725136591546195,13.692643845593587,0.008376756135202794,14.566642388929345,0.008794797694629777
77.49453750910413,0.013250703156652291,77.20320466132554,0.014054549968033007,77.49453750910413,0.011980606693629783,15.149308084486528,0.008971669988267058,17.771303714493804,0.010772418460760224,16.897305171158045,0.010515148605513306
88.27385287691186,0.005132165347784438,88.56518572469045,0.005453720465664173,87.69118718135468,0.004762367009131081,16.60597232337947,0.010675908600173764,21.267297887836854,0.00967931138657105,18.062636562272395,0.010675967147771791
110.12381646030587,0.011322754172687306,110.41514930808447,0.012914405753589549,110.41514930808447,0.010760064917576688,18.353969410050986,0.010643824516455385,25.92862345229424,0.0074769263916178545,21.558630735615445,0.00890761891602635
121.77713037144935,0.008590103582410425,121.48579752367078,0.010599738175141624,121.48579752367078,0.007368226921122333,20.393299344501095,0.009373810020070114,31.463947560087398,0.0068662163966061104,23.88929351784413,0.007766233492504732
132.55644573925707,0.010214331046854468,132.55644573925707,0.011950665451999161,132.26511289147848,0.008960300044730363,22.141296431172613,0.008602176097123436,42.82592862345229,0.006898827408706728,28.841951930080107,0.006962574033437701
143.3357611070648,0.012465568157600762,143.0444282592862,0.0133176464802355,143.0444282592862,0.011034688280878585,25.92862345229424,0.007653775266215928,51.274581209031304,0.0068348583031032535,38.45593590677348,0.006850420254658629
154.1150764748725,0.010520663789247379,154.40640932265111,0.01103514495214319,154.69774217042968,0.009829368880312312,29.71595047341588,0.007155535207012594,54.47924253459578,0.0076549227991372405,46.90458849235251,0.006915068512399208
176.25637290604513,0.012000653391193971,176.54770575382372,0.012386517190745728,176.54770575382372,0.01161481301068142,34.085943190094675,0.006834167441446545,57.97523670793881,0.009327089036845171,52.731245447924245,0.0068831483619552995
187.9096868171886,0.01047379058226757,187.61835396941004,0.012547733856670793,186.74435542607424,0.00930011030367468,40.78659868900218,0.0069148226124874975,64.67589220684633,0.008684271539075835,56.51857246904587,0.008603557820436855
198.68900218499633,0.012226635410055664,198.39766933721774,0.01370572337899265,197.81500364166055,0.009895410570885915,46.90458849235251,0.006931145682817214,70.50254916241806,0.0077037983339695495,60.888565185724694,0.00919858876869717
210.0509832483612,0.012291400762992295,208.8856518572469,0.014301000227164677,210.34231609613983,0.011632248485373637,52.439912600145654,0.006883136652435694,71.6678805535324,0.007559150638285911,67.00655498907503,0.008218127273110491
220.83029861616893,0.013240387069880068,220.53896576839037,0.01496063259508715,219.9563000728332,0.010587618822350193,54.47924253459578,0.007815694503317303,72.83321194464673,0.012478811624274298,71.37654770575381,0.0074626759062582666
242.38892935178438,0.013659260005199023,242.09759650400576,0.015620663086676203,242.09759650400576,0.01158529331175659,58.557902403495994,0.009053800558778273,75.74654042243262,0.016369603960627907,73.41587764020392,0.008363079416303864
253.45957756737067,0.013466778921927946,252.8769118718135,0.017035887335686162,253.45957756737067,0.012437840015175533,60.5972323379461,0.009230731400013579,78.07720320466132,0.013813427540321728,74.28987618353969,0.013765043805312838
264.53022578295696,0.015412561504251722,264.2388929351784,0.017486504778654946,264.8215586307356,0.013306463889012486,64.67589220684633,0.008732503050329854,80.69919883466858,0.010855333569084991,76.3292061179898,0.016353550209249113
