Experiment (Center Point),,Experiment (Upper Bound),,Experiment (Lower Bound),,Spalart-Allmaras,,Menter-SST,,Wilcox k-w,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
22.58923411642774,0.00019870759289176087,22.622560634763822,0.0003126009693053311,22.575288977549512,0.00015105008077544418,6.214804773964673,0.00023909531502423254,6.527270428151226,0.00030694668820678507,5.946774477559558,0.00032310177705977385
77.61887935445824,0.0002625201938610662,77.62549738646825,0.00028513731825525036,77.32059519743598,0.0002431340872374797,12.655095352841563,0.00024878836833602585,14.437945904679076,0.0003416801292407108,13.853195504938121,0.0003432956381260097
99.27000743346807,0.0002552504038772213,99.5673461573461,0.00027140549273021,99.266462059177,0.0002431340872374797,14.414546434357995,0.0002617124394184168,16.5053718329467,0.00040710823909531505,13.566729262219447,0.00036429725363489496
121.51132215279853,0.0002649434571890145,121.81102445953724,0.00028917609046849753,121.50659498707711,0.00024878836833602585,16.19101531247157,0.00033279483037156705,18.270259155042773,0.00043861066235864306,14.744975318285974,0.0003909531502423264
143.481770276291,0.0003489499192245557,143.48744287515672,0.0003683360258481421,143.4758613191392,0.0003287560581583199,17.366897785677402,0.000351373182552504,22.063573288204672,0.00040226171243941844,15.928893973218244,0.0004369951534733441
165.71977597961646,0.00034733441033925696,165.73041210248968,0.00038368336025848147,165.70157639158896,0.00028513731825525036,19.999220017655965,0.00034733441033925696,25.851687539072977,0.0003481421647819063,15.928893973218244,0.0004369951534733441
187.36735868433524,0.00032794830371567045,187.0747471261787,0.00032794830371567045,187.3668859677631,0.0003263327948303716,22.913281326631783,0.00030613893376413574,31.98447598777083,0.00030694668820678507,16.820201069993963,0.0004830371567043619
209.90837571040433,0.00036187399030694666,209.92515714871544,0.00041922455573505655,209.59850999736457,0.0003029079159935379,27.292764009251066,0.00027302100161550886,33.73589088756082,0.0002924071082390954,17.998210767774445,0.0005088852988691438
231.56517638827992,0.00037399030694668827,231.57250349514814,0.0003990306946688207,231.5604492225585,0.0003578352180936995,33.140977081518805,0.0002592891760904685,36.9508362947057,0.00027948303715670433,20.622733176312657,0.0004781906300484653
253.80885469047112,0.0003917609046849758,253.81759994705575,0.00042164781906300485,253.7972731344536,0.00035218093699515356,40.454138810857835,0.0002520193861066235,41.04527088432271,0.00027221324717285943,22.948735069542515,0.0004273021001615509
275.7462126539136,0.0003626817447495961,275.7603941510779,0.0004111470113085622,275.7317947984632,0.00031340872374798065,52.15765570397544,0.00024878836833602585,51.57857790310022,0.0002697899838449111,25.86019643737155,0.0003772213247172859
,,,,,,53.329047369745915,0.0002520193861066235,53.630167826201024,0.0002810985460420032,31.702736910773574,0.0003441033925686591
,,,,,,56.26508999932637,0.0002859450726978998,58.925066150775315,0.00037641357027463646,36.9673813747307,0.0003360258481421648
,,,,,,58.317861713857575,0.00030129240710823914,60.97476520758756,0.00038126009693053306,45.74643719428534,0.0003384491114701132
,,,,,,60.36685169581161,0.00030371567043618734,63.31353044826532,0.00037399030694668827,51.59795928255807,0.0003360258481421648
,,,,,,63.2920218442328,0.0003004846526655897,65.35755690621187,0.00035945072697899836,53.94381527181795,0.0003529886914378029
,,,,,,65.62889621862197,0.00028675282714054934,68.008315084504,0.0004184168012924071,56.59079171753296,0.0003990306946688207
,,,,,,66.80241510896707,0.00029725363489499187,68.6223739117178,0.0005169628432956382,58.942320305658534,0.0004353796445880452
,,,,,,68.87787721896115,0.00039014539579967683,69.51320829192139,0.0005613893376413571,61.86725409579365,0.00043134087237479805
,,,,,,69.46570027642102,0.0003990306946688207,71.54967128471364,0.0005210016155088854,65.95436157854246,0.0003990306946688207
,,,,,,70.34164408460208,0.00039256865912762524,73.27934122218505,0.0004321486268174475,67.72373970807388,0.00044588045234248785
,,,,,,72.6730822184116,0.0003602584814216479,75.88542768440968,0.0003384491114701132,67.74595738696459,0.0005218093699515348
,,,,,,74.12266758688827,0.0003142164781906301,78.79996170995767,0.00029886914378029073,69.53448053766783,0.0006340872374798062
,,,,,,75.86911896267074,0.00028271405492730217,81.13943602549358,0.00029402261712439413,71.57425254646509,0.0006050080775444266
,,,,,,78.49364137120895,0.0002520193861066235,84.95591327069053,0.0003368336025848142,73.01225635892422,0.0005193861066235864
,,,,,,79.95480829570312,0.0002455573505654281,89.95583645424753,0.00042407108239095315,75.32431311327588,0.0004208400646203555
,,,,,,82.297355268958,0.00025121163166397416,92.29885614407456,0.00043134087237479805,79.39298464971111,0.00032552504038772204
,,,,,,84.63966588392682,0.00025605815831987065,94.34335531859324,0.0004184168012924071,83.19929848860696,0.0003336025848142165
,,,,,,86.40195326487608,0.000278675282714055,99.89044793440587,0.00037560581583198703,87.02073925781136,0.0003933764135702747
,,,,,,87.87304723738526,0.00030613893376413574,103.11744761414036,0.0004038772213247173,88.49868762061658,0.000444264943457189
,,,,,,89.63604369319276,0.0003311793214862682,106.93108855990442,0.0004369951534733441,91.14590042461768,0.0004911147011308562
,,,,,,90.80790807553535,0.0003360258481421648,111.31671655796154,0.0004248788368336027,93.19063595742242,0.00047899838449111474
,,,,,,93.44046666579999,0.00033279483037156705,113.64602746719643,0.00038529886914378023,96.68944766613919,0.00043618739903069465
