Experiment (Center Point),,Experiment (Upper Bound),,Experiment (Lower Bound),,Inert-HeafFlux-Body-MenterSST,
X,Y,X,Y,X,Y,X,Y
32.86118980169974,0.00008079034028540062,32.48347497639284,0.00010845225027442367,33.6166194523135,0.000028979143798024156,0.7554296506137916,0.0004491767288693743
98.96128423040605,0.0003148188803512623,98.96128423040605,0.0003798024149286498,98.96128423040605,0.00025773874862788145,1.1331444759206875,0.00036750823271130623
121.62417374881966,0.0003117453347969264,121.62417374881966,0.0003934138309549945,121.62417374881966,0.0002081229418221734,1.888574126534479,0.00028979143798024145
143.15391879131255,0.0002678375411635565,143.15391879131255,0.0003095499451152579,143.15391879131255,0.00022349066959385287,3.399433427762034,0.00021602634467617998
164.68366383380544,0.000297694840834248,165.43909348441923,0.0003442371020856202,165.43909348441923,0.0002498353457738748,6.043437204910305,0.00016509330406147088
186.96883852691218,0.00026081229418221735,186.96883852691218,0.00030164654226125134,186.96883852691218,0.00021031833150384193,9.065155807365443,0.00013435784851811194
209.25401322001886,0.0002555433589462129,209.25401322001886,0.000293304061470911,209.25401322001886,0.0002155872667398463,13.97544853635506,0.0001119648737650933
230.78375826251175,0.00023929747530186606,231.53918791312555,0.00029023051591657513,231.53918791312555,0.00015938529088913277,21.907459867799815,0.00009220636663007683
252.6912181303116,0.00020680570801317235,253.4466477809254,0.00029813391877058176,253.4466477809254,0.00012338090010976946,32.48347497639284,0.0000799121844127332
275.35410764872523,0.00025993413830954987,274.97639282341834,0.00028627881448957187,275.35410764872523,0.00023402854006586164,33.23890462700663,0.000030296377607025207
297.639282341832,0.00024895718990120745,297.639282341832,0.00028979143798024145,297.261567516525,0.00021031833150384193,34.74976392823419,0.000011416026344676156
319.5467422096317,0.00025203073545554335,319.16902738432486,0.00029418221734357845,319.5467422096317,0.00021163556531284298,35.50519357884798,0.0000377607025246981
341.45420207743155,0.00009132821075740947,341.45420207743155,0.0001150384193194292,341.45420207743155,0.00006366630076838636,36.63833805476864,0.00007596048298572994
385.2691218130311,0.00008518111964873768,384.8914069877243,0.00012425905598243688,384.8914069877243,0.000024149286498353418,37.39376770538243,0.00009571899012074641
,,,,,,37.39376770538243,0.00009923161361141604
,,,,,,43.05949008498581,0.00008649835345773873
,,,,,,51.36921624173749,0.000067178924259056
,,,,,,54.01322001888573,0.00006805708013172336
,,,,,,58.92351274787538,0.00022041712403951698
,,,,,,61.945231350330516,0.00024237102085620195
,,,,,,67.233238904627,0.00026652030735455545
,,,,,,70.25495750708217,0.0002713501646542261
,,,,,,74.409820585458,0.0002709110867178924
,,,,,,76.29839471199244,0.00030998902305159166
,,,,,,80.45325779036827,0.00033589462129527986
,,,,,,84.98583569405099,0.00031525795828759597
,,,,,,91.40698772426816,0.0002915477497255763
,,,,,,97.4504249291785,0.00027530186608122934
,,,,,,103.49386213408877,0.0002709110867178924
,,,,,,108.78186968838529,0.0002691547749725576
,,,,,,113.69216241737485,0.00027003293084522503
,,,,,,116.33616619452317,0.0002638858397365532
,,,,,,117.8470254957507,0.0003025246981339187
,,,,,,120.11331444759207,0.00031613611416026345
,,,,,,127.28989612842304,0.0003025246981339187
,,,,,,133.7110481586402,0.00028496158068057076
,,,,,,140.88762983947117,0.0002709110867178924
,,,,,,146.9310670443815,0.0002669593852908891
,,,,,,152.5967894239849,0.0002647639956092206
,,,,,,157.50708215297453,0.0002603732162458836
,,,,,,159.01794145420206,0.00028803512623490666
,,,,,,161.28423040604343,0.00030296377607025245
,,,,,,167.3276676109537,0.00029242590559824366
,,,,,,179.03682719546742,0.0002779363336992316
,,,,,,189.6128423040604,0.00026652030735455545
,,,,,,196.7894239848914,0.0002559824368825466
,,,,,,198.300283286119,0.000265642151481888
,,,,,,201.3220018885741,0.00029242590559824366
,,,,,,209.25401322001886,0.0002906695938529088
,,,,,,217.18602455146367,0.0002823271130625686
,,,,,,223.22946175637395,0.0002709110867178924
,,,,,,232.29461756373934,0.00026256860592755214
,,,,,,236.4494806421152,0.0002564215148188803
,,,,,,240.22662889518415,0.000284522502744237
,,,,,,244.00377714825305,0.000287596048298573
,,,,,,249.6694995278565,0.00028671789242590555
,,,,,,257.2237960339943,0.0002796926454445664
,,,,,,265.9112370160529,0.0002709110867178924
,,,,,,272.7101038715769,0.0002572996706915477
,,,,,,277.62039660056655,0.00027003293084522503
,,,,,,282.90840415486304,0.00028496158068057076
,,,,,,293.10670443814917,0.0002823271130625686
,,,,,,301.4164305949009,0.0002761800219538968
,,,,,,308.21529745042494,0.0002638858397365532
,,,,,,311.614730878187,0.0002621295279912184
,,,,,,314.2587346553352,0.0002634467618002195
,,,,,,318.0358829084041,0.00025071350164654224
,,,,,,321.8130311614731,0.0002054884742041712
,,,,,,328.23418319169025,0.0001527991218441273
,,,,,,335.0330500472143,0.00010406147091108667
,,,,,,341.07648725212465,0.00008649835345773873
,,,,,,349.00849858356946,0.00007639956092206368
,,,,,,367.89423984891414,0.00006893523600439073
,,,,,,367.89423984891414,0.00006893523600439073
,,,,,,391.31255901794145,0.00006147091108671789
,,,,,,408.3097261567517,0.00006059275521405047
,,,,,,425.6846081208687,0.00005444566410537873
