EQ0.3,,EQ0.5,
X,Y,X,Y
-0.3646308113035559,0.029890610756608933,0,0.0299179580674567
3.281677301732003,0.007192342752962627,3.646308113035559,0.007164995442114859
6.927985414767548,0.006891522333637195,7.292616226071104,0.006891522333637195
14.949863263445764,0.006782133090246129,14.220601640838652,0.006754785779398361
17.86690975387421,0.006727438468550593,19.325432999088434,0.006782133090246129
27.347310847766636,0.006946216955332728,28.076572470373748,0.0069188696444849596
32.816773017319974,0.006946216955332728,32.45214220601642,0.006946216955332728
34.27529626253417,0.008204193254329993,34.27529626253417,0.007547857793983592
35.73381950774839,0.00828623518687329,35.00455788514128,0.008313582497721059
37.92160437556973,0.009571558796718324,36.09845031905198,0.008313582497721059
40.109389243391064,0.008887876025524159,38.28623518687331,0.009653600729261622
42.661804922515955,0.008204193254329993,41.93254329990884,0.008614402917046491
46.308113035551514,0.007711941659070194,44.484958979033735,0.008094804010938924
49.95442114858707,0.007192342752962627,47.76663628076574,0.007547857793983592
56.51777575205105,0.0070009115770282605,51.4129443938013,0.007164995442114859
61.25797629899728,0.008450319051959893,56.51777575205105,0.007055606198723793
63.08113035551506,0.008696444849589789,57.976298997265275,0.007848678213309028
66.36280765724703,0.00847766636280766,59.4348222424795,0.008833181403828626
68.91522333637195,0.008067456700091156,60.89334548769372,0.009598906107566092
70.7383773928897,0.007876025524156793,63.44576116681861,0.009407474931631726
73.65542388331815,0.007329079307201461,65.26891522333639,0.008723792160437557
74.38468550592526,0.007192342752962627,68.18596171376484,0.008122151321786692
75.84320875113949,0.007411121239744762,72.19690063810393,0.007793983591613492
76.93710118505015,0.008231540565177758,74.0200546946217,0.007301731996353693
79.12488605287146,0.008805834092980858,76.20783956244304,0.007520510483135828
80.94804010938924,0.008669097538742027,76.93710118505015,0.008204193254329993
87.14676390154969,0.008012762078395626,80.21877848678213,0.00853236098450319
87.87602552415677,0.008258887876025526,82.77119416590702,0.00853236098450319
90.06381039197811,0.014138559708295351,84.22971741112124,0.00962625341841386
92.98085688240656,0.011759343664539654,84.5943482224248,0.011731996353691886
95.53327256153145,0.009954421148587054,86.41750227894258,0.015041020966271652
98.08568824065634,0.008614402917046491,87.87602552415677,0.014521422060164085
102.09662716499545,0.007301731996353693,88.60528714676389,0.014986326344576119
107.20145852324524,0.006426618049225161,89.69917958067458,0.014275296262534185
111.94165907019143,0.009161349134001823,91.1577028258888,0.013564266180492255
113.40018231540566,0.010446672743846856,92.98085688240656,0.011704649042844122
114.85870556061988,0.011896080218778488,95.53327256153145,0.010200546946216957
117.77575205104833,0.009845031905195988,99.179580674567,0.008395624430264356
120.32816773017322,0.00929808568824066,102.09662716499545,0.007520510483135828
121.78669097538744,0.01033728350045579,105.74293527803101,0.007219690063810395
123.97447584320878,0.011950774840474021,107.56608933454876,0.00782133090246126
126.16226071103011,0.012278942570647221,109.7538742023701,0.010474020054694621
128.35004557885142,0.011677301731996357,112.30628988149499,0.012251595259799453
133.4548769371012,0.010774840474020057,115.587967183227,0.011759343664539654
138.55970829535096,0.009571558796718324,118.50501367365544,0.011513217866909758
142.20601640838652,0.008696444849589789,120.32816773017322,0.012360984503190519
146.21695533272563,0.008231540565177758,122.51595259799456,0.013126709206927985
147.67547857793986,0.009653600729261622,124.70373746581589,0.012579762989972654
149.49863263445766,0.014001823154056518,128.35004557885142,0.011923427529626256
153.50957155879675,0.012360984503190519,129.80856882406565,0.01181403828623519
155.69735642661803,0.012278942570647221,131.63172288058342,0.012360984503190519
158.97903372835006,0.011731996353691886,133.81950774840476,0.014849589790337285
165.54238833181407,0.010966271649954423,134.54876937101184,0.01618960802187785
168.82406563354604,0.011349134001823157,136.00729261622607,0.017447584320875113
170.6472196900638,0.011267092069279856,139.28896991795807,0.018350045578851414
173.56426618049224,0.009954421148587054,142.20601640838652,0.019990884229717412
175.75205104831363,0.009024612579762989,144.7584320875114,0.01969006381039198
179.03372835004555,0.008669097538742027,146.5815861440292,0.020948040109389242
180.1276207839563,0.009544211485870556,147.67547857793986,0.02138559708295351
181.22151321786694,0.01115770282588879,149.13400182315408,0.02004557885141295
181.58614402917047,0.012579762989972654,151.32178669097536,0.01821330902461258
182.31540565177758,0.014001823154056518,152.78030993618958,0.017037374658158615
183.7739288969918,0.015287146763901551,153.87420237010028,0.016982680036463083
186.69097538742025,0.01326344576116682,155.69735642661803,0.01818596171376481
187.42023701002736,0.012552415679124889,158.24977210574295,0.023655423883318143
188.51412944393806,0.012032816773017322,159.70829535095717,0.024010938924339108
192.16043755697356,0.011759343664539654,160.8021877848678,0.02351868732907931
195.80674567000912,0.011185050136736558,162.62534184138562,0.022151321786690978
199.45305378304468,0.010884229717411126,164.44849589790337,0.02179580674567001
204.55788514129446,0.010966271649954423,165.9070191431176,0.022178669097538746
208.56882406563355,0.010774840474020057,168.4594348222425,0.026800364630811306
210.02734731084777,0.011458523245214222,170.28258887876027,0.027210574293527804
211.85050136736558,0.013236098450319055,172.10574293527802,0.02636280765724704
214.03828623518686,0.01449407474931632,176.1166818596171,0.021194165907019145
216.9553327256153,0.013783044667274386,179.39835916134913,0.019963536918869644
221.33090246125798,0.012278942570647221,181.22151321786694,0.019717411121239745
222.7894257064722,0.011759343664539654,182.68003646308117,0.02031905195989061
226.07110300820423,0.01148587055606199,184.50319051959892,0.022999088422971742
231.17593436645396,0.010911577028258887,187.42023701002736,0.025897903372835006
234.0929808568824,0.011431175934366454,188.14949863263448,0.02636280765724704
239.1978122151322,0.013372835004557885,189.24339106654512,0.025843208751139473
243.20875113947127,0.014576116681859617,191.43117593436645,0.024475843208751142
245.03190519598908,0.014083865086599819,192.16043755697356,0.024038286235186876
249.04284412032817,0.012798541476754785,193.6189608021878,0.024557885141294443
253.05378304466726,0.011731996353691886,194.71285323609848,0.02682771194165907
256.33546034639926,0.011513217866909758,195.077484047402,0.02764813126709207
261.07566089334546,0.012251595259799453,196.1713764813127,0.028030993618960803
264.7219690063811,0.013701002734731085,197.26526891522334,0.027538742023701004
269.09753874202374,0.015287146763901551,200.9115770282589,0.022260711030082043
271.64995442114855,0.014767547857793984,202.00546946216954,0.021330902461257975
276.7547857793984,0.012962625341841387,204.55788514129446,0.02081130355515041
