Experiment (Center Point),,Experiment (Upper Bound),,Experiment (Lower Bound),,Inert-Pressure-Body-MenterSST,
X,Y,X,Y,X,Y,X,Y
33.49012229539039,0.006855481157655912,32.73753527751643,0.0070319738808034965,33.49012229539039,0.0066084223341265,0.37629350893695346,0.011974102152620219
88.42897460018813,0.007830335897294005,88.05268109125117,0.008218582258867797,88.42897460018813,0.0074773947208234175,0.37629350893695346,0.008279984505561395
99.34148635936029,0.007441779646948148,99.34148635936029,0.007830014941065794,99.71777986829724,0.007077062697139062,4.139228598306659,0.007056344419235238
111.00658513640639,0.007523789496984117,110.25399811853245,0.00845322339660229,110.6302916274694,0.007147329976204968,9.03104421448731,0.006691494659952409
121.91909689557858,0.008205821481932378,121.54280338664157,0.00895877372585911,121.54280338664157,0.007629361961153228,15.804327375352784,0.006691295445741795
132.45531514581373,0.007911393946101488,132.45531514581373,0.008523158651983841,132.83160865475068,0.007287853466880636,23.330197554092166,0.006796956449560068
143.3678269049859,0.007087543578108571,142.99153339604888,0.007593436998505893,143.3678269049859,0.0063816612251673946,30.856067732831576,0.0068320292180842224
154.656632173095,0.007051917436777156,154.656632173095,0.007404858613247744,154.656632173095,0.006640152730894804,32.361241768579475,0.006843749654141995
165.5691439322671,0.008733949421725416,165.5691439322671,0.009545714127607768,165.5691439322671,0.007992772951137182,33.866415804327346,0.0076201759725527075
176.10536218250238,0.007521874827070997,176.48165569143933,0.008133628465497204,176.10536218250238,0.006910110121188644,34.61900282220131,0.008055447955287476
198.6829727187206,0.007791799014996402,198.6829727187206,0.009215328426761107,198.30667920978365,0.006662398317746665,36.12417685794921,0.008055403685462894
209.21919096895576,0.008897371479165512,209.21919096895576,0.009873842067400808,209.5954844778927,0.00839147805876819,37.2530573847601,0.009349488130153284
220.50799623706493,0.00802645122018704,220.13170272812792,0.008991168169996126,220.13170272812792,0.0074264622876431844,40.26340545625587,0.008937634884621768
231.796801505174,0.0076967074317968,231.796801505174,0.008461413314149742,231.796801505174,0.006826119196502683,45.15522107243649,0.007761020419456587
241.95672624647224,0.009237585081069116,242.7093132643462,0.009708151181450943,241.95672624647224,0.008825820375186762,50.423330197554094,0.007090277239776436
253.6218250235183,0.009154889048752144,253.6218250235183,0.009590183166399202,253.6218250235183,0.00857841846051685,56.06773283160862,0.006901875933816612
264.9106302916274,0.007919262907420729,264.5343367826905,0.008636921033700402,264.5343367826905,0.007283979857229815,64.34619002822203,0.006878103038016712
275.07055503292565,0.00864837585081069,275.44684854186266,0.009577776548060427,275.8231420507997,0.007424824304133695,69.99059266227655,0.00698381937911571
286.3593603010348,0.008624514415361629,286.7356538099717,0.009248032759670188,286.7356538099717,0.008036268053787836,73.75352775164629,0.006924885175142493
297.2718720602069,0.008447722870898124,298.0244590780809,0.008977112500691714,297.6481655691439,0.008000652979912566,75.63499529633114,0.007642476896685296
308.18438381937915,0.008929754855846383,308.56067732831605,0.010106214376625532,308.18438381937915,0.007741519561728736,77.14016933207901,0.008054197332743068
319.4731890874882,0.008000011067456144,319.4731890874882,0.00838824636157379,319.4731890874882,0.007682364008632615,79.39793038570082,0.008854130928006196
341.29821260583253,0.0021170162138232536,341.67450611476954,0.0023052404404847564,341.67450611476954,0.0019287698522494606,85.0423330197554,0.008324553151458136
374.4120413922859,0.0016101599247412973,375.1646284101598,0.0017513142604172437,374.7883349012229,0.00148073709257927,92.9444967074318,0.007430203087820264
385.7008466603951,0.0015510043716451764,385.7008466603951,0.0017274749598804717,385.7008466603951,0.001339239665762824,100.4703668861712,0.00711233467987383
407.5258701787394,0.0019150683415416966,407.5258701787394,0.0021621271650711076,407.9021636876763,0.0017032925682031966,108.74882408278455,0.0070767970781915775
429.35089369708373,0.0014085440761440957,429.72718720602063,0.0015379447733938362,429.72718720602063,0.0011967683028055991,111.75917215428032,0.007123767362071827
,,,,,,116.65098777046094,0.00700597642631841
,,,,,,119.28504233301973,0.00871178130706657
,,,,,,124.55315145813731,0.008582214597974654
,,,,,,131.70272812793976,0.008087886669249072
,,,,,,137.7234242709313,0.007581827237009573
,,,,,,146.00188146754468,0.007322760223562614
,,,,,,152.77516462841012,0.0072872668917049405
,,,,,,158.04327375352776,0.007181229594377732
,,,,,,161.4299153339605,0.008651718222566543
,,,,,,168.5794920037629,0.008463272646782136
,,,,,,173.84760112888054,0.00820429417298434
,,,,,,181.74976481655685,0.007874649991699408
,,,,,,189.27563499529631,0.007533252171988267
,,,,,,193.79115710253993,0.007439001715455701
,,,,,,196.80150517403573,0.007274207293453599
,,,,,,201.3170272812794,0.008579956836921032
,,,,,,204.70366886171215,0.008650445465109844
,,,,,,208.46660395108185,0.008638570084666038
,,,,,,214.11100658513638,0.008391345249294448
,,,,,,223.51834430856067,0.00803812738642023
,,,,,,231.42050799623703,0.0077437773227823576
,,,,,,235.9360301034807,0.007531879807426262
,,,,,,237.81749764816553,0.007767118587792596
,,,,,,240.82784571966127,0.008625853577555197
,,,,,,245.343367826905,0.008731603121022632
,,,,,,250.23518344308556,0.008719694538210391
,,,,,,257.3847601128881,0.008507719550661279
,,,,,,265.6632173095014,0.008225123125449613
,,,,,,273.94167450611474,0.007754291406120302
,,,,,,277.3283160865475,0.008083603563720877
,,,,,,280.33866415804323,0.008742338553483482
,,,,,,286.3593603010348,0.008848043827126334
,,,,,,291.6274694261524,0.00883612417685795
