Experiment (Center),,Experiment (Upper Bound),,Experiment (Lower Bound),,1/8C No Walls,,1/2 W Walls,
X,Y,X,Y,X,Y,X,Y,X,Y
33.207547169811306,0.006676080340839927,32.90566037735846,0.0071800973828362764,33.207547169811306,0.006212370663420574,-0.3018867924528337,0.024960681679853925,-0.6037735849056673,0.02500098904443092
87.84905660377356,0.007485286062081559,88.15094339622641,0.008412720632988438,88.15094339622641,0.006477236762020694,-0.3018867924528337,0.008146165550821666,-0.3018867924528337,0.008126004260499087
99.32075471698113,0.008574573950091296,99.32075471698113,0.009683444917833232,99.62264150943395,0.007768137553256241,0.30188679245281946,0.014880066950699941,1.2075471698113205,0.014900273889227024
110.49056603773582,0.007224330493000607,110.188679245283,0.00968399269628728,110.49056603773582,0.005490459525258673,0.6037735849056531,0.008065566037735852,2.4150943396226268,0.007944689592209373
121.0566037735849,0.009684540474741328,121.0566037735849,0.011821637248934874,121.35849056603772,0.0077087492391965905,1.8113207547169878,0.013509175289105297,2.4150943396226268,0.013347915398660986
132.22641509433961,0.011761716372489349,132.22641509433961,0.012588329275715156,132.22641509433961,0.010209297017650639,2.1132075471698073,0.007460803408399268,3.6226415094339472,0.0075213633597078534
143.09433962264146,0.008838877054169202,143.09433962264146,0.01095581253804017,143.3962264150943,0.007951795496043822,4.226415094339615,0.007037522824102253,4.528301886792448,0.006997215459525259
154.56603773584905,0.012145906877662814,154.26415094339617,0.01389992391965916,154.26415094339617,0.0076902465003043236,10.264150943396217,0.006816052951917225,9.35849056603773,0.006795846013390144
165.4339622641509,0.011723067559342664,165.4339622641509,0.013477099817407181,165.4339622641509,0.009827906269020085,18.113207547169807,0.006735803408399268,16.30188679245282,0.006755873402312845
175.99999999999997,0.009848600121728543,176.3018867924528,0.01222764759586123,175.99999999999997,0.008376825928180155,26.56603773584905,0.006917681071211199,22.339622641509436,0.0068368228849665265
198.03773584905653,0.010857775410833841,198.33962264150935,0.014426339013998783,198.33962264150935,0.009607790626902007,32.60377358490564,0.006938146682897141,28.98113207547169,0.006917802799756543
209.20754716981125,0.0140438222763238,209.20754716981125,0.017128499695678638,209.50943396226413,0.009809966524650032,34.11320754716979,0.00784548082775411,31.396226415094333,0.006917924528301887
220.07547169811315,0.012794370054777847,220.37735849056597,0.015959707851491173,220.37735849056597,0.011020191722458918,34.71698113207546,0.008268898356664639,33.207547169811306,0.00796640292148509
230.94339622641505,0.01241185331710286,231.24528301886787,0.01557719111381619,231.24528301886787,0.009548965307364578,36.226415094339615,0.008732684114424832,35.01886792452828,0.008228590992087646
242.11320754716976,0.014045480827754109,242.41509433962258,0.0160011412051126,242.41509433962258,0.012976947656725503,37.73584905660377,0.009619856968959221,37.13207547169813,0.008793213633597082
253.28301886792448,0.014973463177115034,253.28301886792448,0.01711055995130858,253.58490566037736,0.013340413877054171,38.641509433962256,0.009660225197808889,38.641509433962256,0.00939812842361534
