x_mm,q_over_Q
0.4014272300469628,0.02433802816901398
5.568901408450714,0.042570516431924776
8.360262910798127,0.09707568075117345
10.383624413145554,0.2847008450704225
12.803004694835678,0.4662805633802818
16.841314553990614,0.7991707042253522
18.899530516431938,1.162288075117371
22.155417840375577,1.5556807511737092
24.199211267605648,1.8461806572769954
29.4351924882629,2.2093461032863853
31.837145539906075,2.3031797183098592
33.82505164319248,2.3122869483568076
37.39342723004695,2.2790580281690143
42.15046009389671,2.2307184976525822
45.30538967136151,2.1157889201877937
48.06730516431925,2.0220334272300473
50.047399061032834,1.9918061971830987
52.83034741784037,2.0039511737089204
56.40052582159625,1.9797994366197185
64.32751173708921,1.8921735211267607
68.6867230046948,1.840802253521127
70.67523004694836,1.8529352112676059
73.05855399061032,1.852971267605634
75.83128638497654,1.8136788732394369
78.21160563380285,1.7985862910798125
80.20011267605635,1.8107192488262913
84.16450704225353,1.7714448826291083
90.10959624413148,1.7049690140845073
93.27834741784038,1.6596311737089204
95.6562629107981,1.632435680751174
98.01975586854458,1.532622723004695
101.56649765258213,1.390467605633803
103.12953990610329,1.2603853521126762
105.09100469483566,1.1363605633802818
107.83609389671365,0.957884694835681
109.79215023474178,0.8066283568075119
112.16525821596242,0.755227042253521
114.14595305164319,0.7280255399061033
119.706441314554,0.725083943661972
124.8829295774648,0.7887023474178405
131.63147417840378,0.7676244131455401
133.22336150234742,0.7827770892018779
135.21186854460092,0.794910046948357
138.3866291079812,0.7798294835680755
144.35515492957745,0.8313569953051647
148.32255399061034,0.807211267605634
156.6599812206573,0.7861573708920189
159.0390985915493,0.7650133333333333
167.37892957746482,0.7560623474178405
172.9358122065728,0.734966384976526
176.90561502347418,0.7229235680751178
181.2756431924883,0.7260153990610332
185.64206572769956,0.7109528638497653
191.2013521126761,0.7019598122065729
196.36762441314556,0.7141408450704227
201.52728638497655,0.6930388732394368
206.29153051643198,0.681008075117371
211.45660093896714,0.68713765258216
219.3956056338028,0.6600262910798125
225.34970892018782,0.6389363380281692
230.51057276995311,0.6238858215962444
232.89329577464792,0.6208961502347417
234.47977464788733,0.6088172769953055
237.26092018779343,0.6118850704225354
241.23312676056344,0.6119451643192493
245.20172769953052,0.5938508920187795
249.5669483568076,0.5727369014084513
255.12683568075119,0.5667695774647887
257.9025727699531,0.5426058215962444
261.87177464788743,0.5275372769953055
263.8578779342724,0.5275673239436625
269.0187417840376,0.5125168075117372
273.385765258216,0.5004800000000005
275.3742723004695,0.5126129577464789
288.0787230046949,0.479522253521127
469.91263849765267,0.013286760563380628
